_date,total_clones,unique_clones
2022-12-25,2,2
2022-12-26,11,11
2022-12-27,5,5
2022-12-28,10,9
2022-12-29,9,6
2022-12-30,6,6
2022-12-31,7,7
2023-01-01,15,10
2023-01-02,92,80
2023-01-03,92,75
2023-01-04,95,78
2023-01-05,70,59
2023-01-06,72,61
2023-01-07,72,57
2023-01-08,82,67
2023-01-09,61,50
2023-01-10,77,70
2023-01-11,82,71
2023-01-12,52,44
2023-01-13,66,57
2023-01-14,37,32
2023-01-15,59,50
2023-01-16,63,53
2023-01-17,44,37
2023-01-18,56,48
2023-01-19,33,29
2023-01-20,50,44
2023-01-21,57,48
2023-01-22,46,42
2023-01-23,71,58
2023-01-24,67,52
2023-01-25,62,49
2023-01-26,63,60
2023-01-27,58,55
2023-01-28,90,70
2023-01-29,51,49
